"CustomerID != ""CustomerID""","Gender != ""Gender""","Age != ""Age""","Annual Income (k$) != ""Annual Income (k$)""","Spending Score (1-100) != ""Spending Score (1-100)"""
57,"Female != ""Female""",51,44,50
58,"Male != ""Male""",69,44,46
59,"Female != ""Female""",27,46,51
60,"Male != ""Male""",53,46,46
61,"Male != ""Male""",70,46,56
62,"Male != ""Male""",19,46,55
63,"Female != ""Female""",67,47,52
64,"Female != ""Female""",54,47,59
65,"Male != ""Male""",63,48,51
66,"Male != ""Male""",18,48,59
67,"Female != ""Female""",43,48,50
68,"Female != ""Female""",68,48,48
69,"Male != ""Male""",19,48,59
70,"Female != ""Female""",32,48,47
71,"Male != ""Male""",70,49,55
72,"Female != ""Female""",47,49,42
73,"Female != ""Female""",60,50,49
74,"Female != ""Female""",60,50,56
75,"Male != ""Male""",59,54,47
76,"Male != ""Male""",26,54,54
77,"Female != ""Female""",45,54,53
78,"Male != ""Male""",40,54,48
79,"Female != ""Female""",23,54,52
80,"Female != ""Female""",49,54,42
81,"Male != ""Male""",57,54,51
82,"Male != ""Male""",38,54,55
83,"Male != ""Male""",67,54,41
84,"Female != ""Female""",46,54,44
85,"Female != ""Female""",21,54,57
86,"Male != ""Male""",48,54,46
87,"Female != ""Female""",55,57,58
88,"Female != ""Female""",22,57,55
89,"Female != ""Female""",34,58,60
90,"Female != ""Female""",50,58,46
91,"Female != ""Female""",68,59,55
92,"Male != ""Male""",18,59,41
93,"Male != ""Male""",48,60,49
94,"Female != ""Female""",40,60,40
95,"Female != ""Female""",32,60,42
96,"Male != ""Male""",24,60,52
97,"Female != ""Female""",47,60,47
98,"Female != ""Female""",27,60,50
99,"Male != ""Male""",48,61,42
100,"Male != ""Male""",20,61,49
101,"Female != ""Female""",23,62,41
102,"Female != ""Female""",49,62,48
103,"Male != ""Male""",67,62,59
104,"Male != ""Male""",26,62,55
105,"Male != ""Male""",49,62,56
106,"Female != ""Female""",21,62,42
107,"Female != ""Female""",66,63,50
108,"Male != ""Male""",54,63,46
109,"Male != ""Male""",68,63,43
110,"Male != ""Male""",66,63,48
111,"Male != ""Male""",65,63,52
112,"Female != ""Female""",19,63,54
113,"Female != ""Female""",38,64,42
114,"Male != ""Male""",19,64,46
115,"Female != ""Female""",18,65,48
116,"Female != ""Female""",19,65,50
117,"Female != ""Female""",63,65,43
118,"Female != ""Female""",49,65,59
119,"Female != ""Female""",51,67,43
120,"Female != ""Female""",50,67,57
121,"Male != ""Male""",27,67,56
122,"Female != ""Female""",38,67,40
123,"Female != ""Female""",40,69,58
124,"Male != ""Male""",39,69,91
125,"Female != ""Female""",23,70,29
126,"Female != ""Female""",31,70,77
127,"Male != ""Male""",43,71,35
128,"Male != ""Male""",40,71,95
129,"Male != ""Male""",59,71,11
130,"Male != ""Male""",38,71,75
131,"Male != ""Male""",47,71,9
132,"Male != ""Male""",39,71,75
133,"Female != ""Female""",25,72,34
134,"Female != ""Female""",31,72,71
135,"Male != ""Male""",20,73,5
136,"Female != ""Female""",29,73,88
137,"Female != ""Female""",44,73,7
138,"Male != ""Male""",32,73,73
139,"Male != ""Male""",19,74,10
140,"Female != ""Female""",35,74,72
141,"Female != ""Female""",57,75,5
142,"Male != ""Male""",32,75,93
143,"Female != ""Female""",28,76,40
144,"Female != ""Female""",32,76,87
145,"Male != ""Male""",25,77,12
146,"Male != ""Male""",28,77,97
147,"Male != ""Male""",48,77,36
148,"Female != ""Female""",32,77,74
149,"Female != ""Female""",34,78,22
150,"Male != ""Male""",34,78,90
151,"Male != ""Male""",43,78,17
152,"Male != ""Male""",39,78,88
153,"Female != ""Female""",44,78,20
154,"Female != ""Female""",38,78,76
155,"Female != ""Female""",47,78,16
156,"Female != ""Female""",27,78,89
157,"Male != ""Male""",37,78,1
158,"Female != ""Female""",30,78,78
159,"Male != ""Male""",34,78,1
160,"Female != ""Female""",30,78,73
161,"Female != ""Female""",56,79,35
162,"Female != ""Female""",29,79,83
163,"Male != ""Male""",19,81,5
164,"Female != ""Female""",31,81,93
165,"Male != ""Male""",50,85,26
166,"Female != ""Female""",36,85,75
167,"Male != ""Male""",42,86,20
168,"Female != ""Female""",33,86,95
169,"Female != ""Female""",36,87,27
170,"Male != ""Male""",32,87,63
171,"Male != ""Male""",40,87,13
172,"Male != ""Male""",28,87,75
173,"Male != ""Male""",36,87,10
174,"Male != ""Male""",36,87,92
175,"Female != ""Female""",52,88,13
176,"Female != ""Female""",30,88,86
177,"Male != ""Male""",58,88,15
178,"Male != ""Male""",27,88,69
179,"Male != ""Male""",59,93,14
180,"Male != ""Male""",35,93,90
181,"Female != ""Female""",37,97,32
182,"Female != ""Female""",32,97,86
183,"Male != ""Male""",46,98,15
184,"Female != ""Female""",29,98,88
185,"Female != ""Female""",41,99,39
186,"Male != ""Male""",30,99,97
187,"Female != ""Female""",54,101,24
188,"Male != ""Male""",28,101,68
189,"Female != ""Female""",41,103,17
190,"Female != ""Female""",36,103,85
191,"Female != ""Female""",34,103,23
192,"Female != ""Female""",32,103,69
193,"Male != ""Male""",33,113,8
194,"Female != ""Female""",38,113,91
195,"Female != ""Female""",47,120,16
196,"Female != ""Female""",35,120,79
197,"Female != ""Female""",45,126,28
198,"Male != ""Male""",32,126,74
199,"Male != ""Male""",32,137,18
200,"Male != ""Male""",30,137,83
